,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'The Blacklist'}),frozenset({'Ozark'}),0.6428571428571429,0.7380952380952381,0.5,0.7777777777777777,1.0537634408602148,0.02551020408163257,1.178571428571428,0.1428571428571424
1,frozenset({'Ozark'}),frozenset({'The Blacklist'}),0.7380952380952381,0.6428571428571429,0.5,0.6774193548387096,1.053763440860215,0.02551020408163257,1.1071428571428568,0.1948051948051942
2,frozenset({'Atypical'}),frozenset({'Ozark'}),0.5714285714285714,0.7380952380952381,0.4523809523809524,0.7916666666666667,1.0725806451612903,0.030612244897959162,1.2571428571428573,0.15789473684210514
3,frozenset({'Ozark'}),frozenset({'Atypical'}),0.7380952380952381,0.5714285714285714,0.4523809523809524,0.6129032258064516,1.0725806451612905,0.030612244897959162,1.1071428571428572,0.25837320574162664
4,frozenset({'Mr. Robot'}),frozenset({'Ozark'}),0.5,0.7380952380952381,0.42857142857142855,0.8571428571428571,1.161290322580645,0.05952380952380948,1.8333333333333324,0.27777777777777757
5,frozenset({'Ozark'}),frozenset({'Mr. Robot'}),0.7380952380952381,0.5,0.42857142857142855,0.5806451612903225,1.161290322580645,0.05952380952380948,1.192307692307692,0.53030303030303
6,frozenset({'The Blacklist'}),frozenset({'Atypical'}),0.6428571428571429,0.5714285714285714,0.42857142857142855,0.6666666666666666,1.1666666666666667,0.061224489795918324,1.2857142857142856,0.3999999999999998
7,frozenset({'Atypical'}),frozenset({'The Blacklist'}),0.5714285714285714,0.6428571428571429,0.42857142857142855,0.75,1.1666666666666665,0.061224489795918324,1.4285714285714284,0.3333333333333331
11,frozenset({'Family Guy'}),frozenset({'Atypical'}),0.4523809523809524,0.5714285714285714,0.38095238095238093,0.8421052631578947,1.4736842105263157,0.1224489795918367,2.7142857142857135,0.5869565217391303
12,frozenset({'Ozark'}),frozenset({'The Walking Dead'}),0.7380952380952381,0.47619047619047616,0.38095238095238093,0.5161290322580645,1.0838709677419356,0.02947845804988658,1.0825396825396825,0.29545454545454514
13,frozenset({'The Walking Dead'}),frozenset({'Ozark'}),0.47619047619047616,0.7380952380952381,0.38095238095238093,0.8,1.0838709677419356,0.02947845804988658,1.3095238095238095,0.1477272727272725
10,frozenset({'Atypical'}),frozenset({'Family Guy'}),0.5714285714285714,0.4523809523809524,0.38095238095238093,0.6666666666666666,1.4736842105263157,0.1224489795918367,1.6428571428571428,0.7499999999999998
9,frozenset({'Family Guy'}),frozenset({'Ozark'}),0.4523809523809524,0.7380952380952381,0.38095238095238093,0.8421052631578947,1.1409168081494057,0.0470521541950113,1.658730158730158,0.22554347826086937
8,frozenset({'Ozark'}),frozenset({'Family Guy'}),0.7380952380952381,0.4523809523809524,0.38095238095238093,0.5161290322580645,1.1409168081494057,0.0470521541950113,1.1317460317460317,0.4715909090909088
